gsis_id,player,position,team,year_signed,years,fa_year,apy,total_value,total_guaranteed,guarantee_pct,draft_round,draft_overall,draft_year,inflated_apy
00-0036165,Isaiah Hodgins,WR,Giants,2026,1.0,2027.0,1240000.0,1240000.0,0.0,0.0,6.0,207.0,2020.0,1.24
00-0036176,Mason Kinsey,WR,Titans,2025,2.0,2027.0,1087500.0,2175000.0,0.0,0.0,,,2020.0,1.173191
00-0036182,Nick Westbrook-Ikhine,WR,Colts,2026,1.0,2027.0,1402500.0,1402500.0,437500.0,0.31194295900178254,,,2020.0,1.4025
00-0036212,Tua Tagovailoa,QB,Falcons,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,1.0,5.0,2020.0,1.215
00-0036223,Jonathan Taylor,RB,Colts,2023,3.0,2026.0,14000000.0,42000000.0,19347556.0,0.46065609523809525,2.0,41.0,2020.0,18.758007
00-0036244,Colby Parkinson,TE,Rams,2024,3.0,2027.0,7500000.0,22500000.0,10250000.0,0.45555555555555555,4.0,133.0,2020.0,8.844949
00-0036252,"Michael Pittman, Jr.",WR,Steelers,2026,2.0,2028.0,17500000.0,35000000.0,24000000.0,0.6857142857142857,2.0,34.0,2020.0,17.5
00-0036261,Brandon Aiyuk,WR,49ers,2024,4.0,2028.0,30000000.0,120000000.0,45000000.0,0.375,1.0,25.0,2020.0,35.379796
00-0036264,Jordan Love,QB,Packers,2024,4.0,2028.0,55000000.0,220000000.0,100800000.0,0.4581818181818182,1.0,26.0,2020.0,64.86296
00-0036271,Quez Watkins,WR,Eagles,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,6.0,200.0,2020.0,1.215
00-0036275,D'Andre Swift,RB,Bears,2024,3.0,2027.0,8000000.0,24000000.0,14000000.0,0.5833333333333334,2.0,35.0,2020.0,9.434612
00-0036290,Cole Kmet,TE,Bears,2023,4.0,2027.0,12500000.0,50000000.0,22893000.0,0.45786,2.0,43.0,2020.0,16.748221
00-0036309,Darnell Mooney,WR,Giants,2026,1.0,2027.0,3000000.0,3000000.0,3000000.0,1.0,5.0,173.0,2020.0,3.0
00-0036322,Justin Jefferson,WR,Vikings,2024,4.0,2028.0,35000000.0,140000000.0,88743000.0,0.6338785714285714,1.0,22.0,2020.0,41.276429
00-0036331,Devin Duvernay,WR,Cardinals,2026,1.0,2027.0,1850000.0,1850000.0,550000.0,0.2972972972972973,3.0,92.0,2020.0,1.85
00-0036355,Justin Herbert,QB,Chargers,2023,5.0,2028.0,52500000.0,262500000.0,133738374.99999999,0.5094795238095238,1.0,6.0,2020.0,70.342527
00-0036358,CeeDee Lamb,WR,Cowboys,2024,4.0,2028.0,34000000.0,136000000.0,67000000.0,0.49264705882352944,1.0,17.0,2020.0,40.097103
00-0036389,Jalen Hurts,QB,Eagles,2023,5.0,2028.0,51000000.0,255000000.0,110000000.0,0.43137254901960786,2.0,53.0,2020.0,68.33274
00-0036407,Jerry Jeudy,WR,Browns,2024,3.0,2027.0,17500000.0,52500000.0,41000000.0,0.780952380952381,1.0,15.0,2020.0,20.638215
00-0036410,Tee Higgins,WR,Bengals,2025,4.0,2029.0,28750000.0,115000000.0,30000000.0,0.2608695652173913,2.0,33.0,2020.0,31.015401
00-0036414,Cam Akers,RB,Seahawks,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,2.0,52.0,2020.0,1.215
00-0036415,Van Jefferson,WR,Commanders,2026,1.0,2027.0,1402500.0,1402500.0,527500.0,0.37611408199643487,2.0,57.0,2020.0,1.4025
00-0036422,Adam Trautman,TE,Broncos,2026,3.0,2029.0,5666667.0,17000000.0,9500000.0,0.5588235294117647,3.0,105.0,2020.0,5.666667
00-0036423,Albert Okwuegbunam,TE,Raiders,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,4.0,118.0,2020.0,1.215
00-0036425,DeeJay Dallas,RB,Jaguars,2026,1.0,2027.0,1265000.0,1265000.0,200000.0,0.158102766798419,4.0,144.0,2020.0,1.265
00-0036429,Charlie Woerner,TE,Falcons,2024,3.0,2027.0,4000000.0,12000000.0,4160000.0,0.3466666666666667,6.0,190.0,2020.0,4.717306
00-0036442,Joe Burrow,QB,Bengals,2023,5.0,2028.0,55000000.0,275000000.0,146510000.0,0.5327636363636363,1.0,1.0,2020.0,73.692171
00-0036463,Chris Blair,WR,Falcons,2026,1.0,2027.0,1075000.0,1075000.0,0.0,0.0,,,2021.0,1.075
00-0036497,Tim Jones,WR,Jaguars,2026,1.0,2027.0,1215000.0,1215000.0,0.0,0.0,,,2021.0,1.215
00-0036550,Rashod Bateman,WR,Ravens,2025,3.0,2028.0,12250000.0,36750000.0,16500000.0,0.4489795918367347,1.0,27.0,2021.0,13.215258
